ranking_date,rank,player_id,points,firstname,lastname,hand,height,country_name,fullname
20230626,1,207989,7675,Carlos,Alcaraz,R,185.0,Spain,Carlos Alcaraz
20230626,2,104925,7595,Novak,Djokovic,R,188.0,Serbia,Novak Djokovic
20230626,3,106421,5890,Daniil,Medvedev,R,198.0,Russian Federation,Daniil Medvedev
20230626,4,134770,4960,Casper,Ruud,R,183.0,Norway,Casper Ruud
20230626,5,126774,4670,Stefanos,Tsitsipas,R,193.0,Greece,Stefanos Tsitsipas
20230626,6,208029,4510,Holger,Rune,R,185.0,Denmark,Holger Rune
20230626,7,126094,4255,Andrey,Rublev,R,188.0,Russian Federation,Andrey Rublev
20230626,8,206173,3345,Jannik,Sinner,R,188.0,Italy,Jannik Sinner
20230626,9,126203,3310,Taylor,Fritz,R,193.0,United States,Taylor Fritz
20230626,10,126207,3085,Frances,Tiafoe,R,188.0,United States,Frances Tiafoe
20230626,11,111575,3035,Karen,Khachanov,R,198.0,Russian Federation,Karen Khachanov
20230626,12,200000,2760,Felix,Auger Aliassime,R,193.0,Canada,Felix Auger Aliassime
20230626,13,111815,2610,Cameron,Norrie,L,188.0,United Kingdom,Cameron Norrie
20230626,14,106432,2305,Borna,Coric,R,188.0,Croatia,Borna Coric
20230626,15,207518,2210,Lorenzo,Musetti,R,185.0,Italy,Lorenzo Musetti
20230626,16,200282,2115,Alex,De Minaur,R,183.0,Australia,Alex De Minaur
20230626,17,126205,2110,Tommy,Paul,R,185.0,United States,Tommy Paul
20230626,18,128034,2060,Hubert,Hurkacz,R,196.0,Poland,Hubert Hurkacz
20230626,19,202103,1655,Francisco,Cerundolo,R,185.0,Argentina,Francisco Cerundolo
20230626,20,105807,1640,Pablo,Carreno Busta,R,188.0,Spain,Pablo Carreno Busta
20230626,21,100644,1630,Alexander,Zverev,R,198.0,Germany,Alexander Zverev
20230626,22,105526,1625,Jan Lennard,Struff,R,193.0,Germany,Jan Lennard Struff
20230626,23,105138,1480,Roberto,Bautista Agut,R,183.0,Spain,Roberto Bautista Agut
20230626,24,105777,1430,Grigor,Dimitrov,R,188.0,Bulgaria,Grigor Dimitrov
20230626,25,200624,1355,Sebastian,Korda,R,196.0,United States,Sebastian Korda
20230626,26,122330,1354,Alexander,Bublik,R,196.0,Kazakhstan,Alexander Bublik
20230626,27,106415,1351,Yoshihito,Nishioka,L,170.0,Japan,Yoshihito Nishioka
20230626,28,111797,1336,Nicolas,Jarry,R,198.0,Chile,Nicolas Jarry
20230626,29,133430,1335,Denis,Shapovalov,L,185.0,Canada,Denis Shapovalov
20230626,30,105554,1321,Daniel,Evans,R,175.0,United Kingdom,Daniel Evans
20230626,31,134868,1254,Tallon,Griekspoor,R,188.0,Netherlands,Tallon Griekspoor
